,NumRef,Ocean,Longitude,Latitude,Date,Depth,GPP,Chl_a,set,year,month,day,Longitude_pos,depth_bin,geometry
0,1,Arctic,-3.15,49.22,24 Jul 1981,10.0,47.85,1.47,PP,1981.0,7.0,24.0,356.85,15.0,POINT (-3.15 49.22)
1,2,Arctic,-3.15,49.22,24 Jul 1981,10.0,26.85,1.65,PP,1981.0,7.0,24.0,356.85,15.0,POINT (-3.15 49.22)
6,7,Arctic,-6.37,49.05,26 Jul 1981,7.0,9.38,0.34,PP,1981.0,7.0,26.0,353.63,15.0,POINT (-6.37 49.05)
7,8,Arctic,-6.37,49.05,26 Jul 1981,17.0,6.9,0.35,PP,1981.0,7.0,26.0,353.63,27.5,POINT (-6.37 49.05)
10,11,Arctic,-6.37,49.05,27 Jul 1981,7.0,7.5,0.26,PP,1981.0,7.0,27.0,353.63,15.0,POINT (-6.37 49.05)
11,12,Arctic,-6.37,49.05,27 Jul 1981,17.0,27.98,1.45,PP,1981.0,7.0,27.0,353.63,27.5,POINT (-6.37 49.05)
12,13,Arctic,-6.37,49.05,27 Jul 1981,26.0,30.53,2.81,PP,1981.0,7.0,27.0,353.63,27.5,POINT (-6.37 49.05)
23,24,Arctic,3.05,58.88,18 Jun 1999,5.0,3.46,0.39,PP,1999.0,6.0,18.0,3.05,5.0,POINT (3.05 58.88)
24,25,Arctic,3.05,58.88,18 Jun 1999,10.0,2.81,0.36,PP,1999.0,6.0,18.0,3.05,15.0,POINT (3.05 58.88)
25,26,Arctic,3.05,58.88,18 Jun 1999,40.0,0.81,0.62,PP,1999.0,6.0,18.0,3.05,45.0,POINT (3.05 58.88)
27,28,Arctic,3.21,58.83,19 Jun 1999,5.0,2.88,0.35,PP,1999.0,6.0,19.0,3.21,5.0,POINT (3.21 58.83)
28,29,Arctic,3.21,58.83,19 Jun 1999,10.0,0.9,0.35,PP,1999.0,6.0,19.0,3.21,15.0,POINT (3.21 58.83)
30,31,Arctic,3.51,58.61,21 Jun 1999,5.0,4.66,0.42,PP,1999.0,6.0,21.0,3.51,5.0,POINT (3.51 58.61)
31,32,Arctic,3.51,58.61,21 Jun 1999,25.0,3.0,0.6,PP,1999.0,6.0,21.0,3.51,27.5,POINT (3.51 58.61)
32,33,Arctic,3.51,58.61,21 Jun 1999,36.0,2.98,1.28,PP,1999.0,6.0,21.0,3.51,45.0,POINT (3.51 58.61)
