,number,Date,cruise,Longitude,Latitude,Depth,bacteria,virus,set,year,month,day,Longitude_pos,depth_bin,geometry
0,1,8/28/00,ARCTICSBI,-100.5,68.5,1.0,124000.0,23500000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
1,2,8/28/00,ARCTICSBI,-100.5,68.5,1.0,169000.0,24200000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
2,3,8/28/00,ARCTICSBI,-100.5,68.5,1.0,159000.0,14800000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
3,4,8/28/00,ARCTICSBI,-100.5,68.5,1.0,124000.0,15500000.0,VB,2000,8,28,259.5,5.0,POINT (-100.5 68.5)
4,5,8/30/00,ARCTICSBI,-100.5,69.5,1.0,120000.0,12900000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
5,6,8/30/00,ARCTICSBI,-100.5,69.5,1.0,89100.0,6320000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
6,7,8/30/00,ARCTICSBI,-100.5,69.5,1.0,90000.0,19300000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
7,8,8/30/00,ARCTICSBI,-100.5,69.5,1.0,137000.0,18100000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
8,9,8/30/00,ARCTICSBI,-100.5,69.5,1.0,110000.0,13200000.0,VB,2000,8,30,259.5,5.0,POINT (-100.5 69.5)
9,10,8/29/00,ARCTICSBI,-101.5,68.5,1.0,102000.0,6320000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
10,11,8/29/00,ARCTICSBI,-101.5,68.5,1.0,144000.0,13800000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
11,12,8/29/00,ARCTICSBI,-101.5,68.5,1.0,123000.0,14400000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
12,13,8/29/00,ARCTICSBI,-101.5,68.5,1.0,129000.0,15300000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
13,14,8/29/00,ARCTICSBI,-101.5,68.5,1.0,73200.0,5050000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
14,15,8/29/00,ARCTICSBI,-101.5,68.5,1.0,167000.0,19700000.0,VB,2000,8,29,258.5,5.0,POINT (-101.5 68.5)
15,16,9/16/00,ARCTICSBI,-106.5,68.5,1.0,85700.0,12400000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
16,17,9/16/00,ARCTICSBI,-106.5,68.5,1.0,141000.0,16100000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
17,18,9/16/00,ARCTICSBI,-106.5,68.5,1.0,87200.0,11700000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
18,19,9/16/00,ARCTICSBI,-106.5,68.5,1.0,170000.0,12800000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
19,20,9/16/00,ARCTICSBI,-106.5,68.5,1.0,153000.0,14400000.0,VB,2000,9,16,253.5,5.0,POINT (-106.5 68.5)
20,21,1/9/00,ARCTICSBI,-108.5,68.5,1.0,215000.0,8420000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
21,22,1/9/00,ARCTICSBI,-108.5,68.5,1.0,321000.0,13800000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
22,23,1/9/00,ARCTICSBI,-108.5,68.5,1.0,139000.0,22000000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
23,24,1/9/00,ARCTICSBI,-108.5,68.5,1.0,166000.0,9160000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
24,25,1/9/00,ARCTICSBI,-108.5,68.5,1.0,148000.0,12500000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
25,26,1/9/00,ARCTICSBI,-108.5,68.5,1.0,153000.0,15400000.0,VB,2000,1,9,251.5,5.0,POINT (-108.5 68.5)
26,27,3/8/09,STRATIPHYT1,-11.5,49.5,31.07333333,110000.0,14400000.0,VB,2009,3,8,348.5,45.0,POINT (-11.5 49.5)
27,28,3/8/09,STRATIPHYT1,-11.5,49.5,44.31076923,111000.0,8290000.0,VB,2009,3,8,348.5,45.0,POINT (-11.5 49.5)
28,29,3/8/09,STRATIPHYT1,-11.5,49.5,14.48782609,114000.0,19300000.0,VB,2009,3,8,348.5,15.0,POINT (-11.5 49.5)
29,30,3/8/09,STRATIPHYT1,-11.5,49.5,74.825,55100.0,4860000.0,VB,2009,3,8,348.5,87.5,POINT (-11.5 49.5)
30,31,3/8/09,STRATIPHYT1,-11.5,49.5,66.71,51000.0,6590000.0,VB,2009,3,8,348.5,87.5,POINT (-11.5 49.5)
31,32,3/8/09,STRATIPHYT1,-11.5,49.5,125.78,45400.0,3320000.0,VB,2009,3,8,348.5,160.0,POINT (-11.5 49.5)
32,33,3/8/09,STRATIPHYT1,-11.5,49.5,56.02,98500.0,7920000.0,VB,2009,3,8,348.5,65.0,POINT (-11.5 49.5)
33,34,5/8/09,STRATIPHYT1,-11.5,51.5,45.27,96600.0,16500000.0,VB,2009,5,8,348.5,65.0,POINT (-11.5 51.5)
34,35,5/8/09,STRATIPHYT1,-11.5,51.5,57.18777778,94500.0,20100000.0,VB,2009,5,8,348.5,65.0,POINT (-11.5 51.5)
35,36,5/8/09,STRATIPHYT1,-11.5,51.5,60.31466667,117000.0,8560000.0,VB,2009,5,8,348.5,65.0,POINT (-11.5 51.5)
36,37,5/8/09,STRATIPHYT1,-11.5,51.5,30.80666667,171000.0,23900000.0,VB,2009,5,8,348.5,45.0,POINT (-11.5 51.5)
37,38,5/8/09,STRATIPHYT1,-11.5,51.5,73.885,101000.0,7560000.0,VB,2009,5,8,348.5,87.5,POINT (-11.5 51.5)
38,39,5/8/09,STRATIPHYT1,-11.5,51.5,124.264,44600.0,4830000.0,VB,2009,5,8,348.5,160.0,POINT (-11.5 51.5)
39,40,5/8/09,STRATIPHYT1,-11.5,51.5,15.164,124000.0,25500000.0,VB,2009,5,8,348.5,27.5,POINT (-11.5 51.5)
40,41,8/17/00,ARCTICSBI,-110.5,68.5,1.0,333000.0,17900000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
41,42,8/17/00,ARCTICSBI,-110.5,68.5,1.0,219000.0,18000000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
42,43,8/17/00,ARCTICSBI,-110.5,68.5,1.0,189000.0,13500000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
43,44,8/17/00,ARCTICSBI,-110.5,68.5,1.0,168000.0,13000000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
44,45,8/17/00,ARCTICSBI,-110.5,68.5,1.0,175000.0,16300000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
45,46,8/17/00,ARCTICSBI,-110.5,68.5,1.0,320000.0,19800000.0,VB,2000,8,17,249.5,5.0,POINT (-110.5 68.5)
46,47,2/9/00,ARCTICSBI,-111.5,67.5,1.0,217000.0,11300000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
47,48,2/9/00,ARCTICSBI,-111.5,67.5,1.0,147000.0,9500000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
48,49,2/9/00,ARCTICSBI,-111.5,67.5,1.0,237000.0,5630000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
49,50,2/9/00,ARCTICSBI,-111.5,67.5,1.0,196000.0,8900000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
50,51,2/9/00,ARCTICSBI,-111.5,67.5,1.0,180000.0,15700000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
51,52,2/9/00,ARCTICSBI,-111.5,67.5,1.0,90000.0,7460000.0,VB,2000,2,9,248.5,5.0,POINT (-111.5 67.5)
52,53,9/16/00,ARCTICSBI,-112.5,68.5,1.0,152000.0,12000000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
53,54,9/16/00,ARCTICSBI,-112.5,68.5,1.0,243000.0,7690000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
54,55,9/16/00,ARCTICSBI,-112.5,68.5,1.0,210000.0,18200000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
55,56,9/16/00,ARCTICSBI,-112.5,68.5,1.0,111000.0,24000000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
56,57,9/16/00,ARCTICSBI,-112.5,68.5,1.0,231000.0,14700000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
57,58,9/16/00,ARCTICSBI,-112.5,68.5,1.0,182000.0,24500000.0,VB,2000,9,16,247.5,5.0,POINT (-112.5 68.5)
58,59,12/8/00,ARCTICSBI,-113.5,68.5,1.0,152000.0,6650000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
59,60,8/16/00,ARCTICSBI,-113.5,68.5,1.0,141000.0,16800000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
60,61,12/8/00,ARCTICSBI,-113.5,68.5,1.0,204000.0,15900000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
61,62,12/8/00,ARCTICSBI,-113.5,68.5,1.0,235000.0,16100000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
62,63,8/16/00,ARCTICSBI,-113.5,68.5,1.0,132000.0,11000000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
63,64,12/8/00,ARCTICSBI,-113.5,68.5,1.0,231000.0,12800000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
64,65,8/16/00,ARCTICSBI,-113.5,68.5,1.0,270000.0,24500000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
65,66,8/16/00,ARCTICSBI,-113.5,68.5,1.0,304000.0,9910000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
66,67,8/16/00,ARCTICSBI,-113.5,68.5,1.0,157000.0,24100000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
67,68,12/8/00,ARCTICSBI,-113.5,68.5,1.0,181000.0,16900000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
68,69,12/8/00,ARCTICSBI,-113.5,68.5,1.0,464000.0,26400000.0,VB,2000,12,8,246.5,5.0,POINT (-113.5 68.5)
69,70,8/16/00,ARCTICSBI,-113.5,68.5,1.0,95000.0,8150000.0,VB,2000,8,16,246.5,5.0,POINT (-113.5 68.5)
70,71,8/14/00,ARCTICSBI,-115.5,67.5,1.0,107000.0,13600000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
71,72,8/14/00,ARCTICSBI,-115.5,67.5,1.0,128000.0,8460000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
72,73,8/14/00,ARCTICSBI,-115.5,67.5,1.0,102000.0,4980000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
73,74,8/14/00,ARCTICSBI,-115.5,67.5,1.0,543000.0,8090000.0,VB,2000,8,14,244.5,5.0,POINT (-115.5 67.5)
