,Depth,Latitude,Longitude,month,phyto,zoo,set,year,day,Longitude_pos,depth_bin,geometry
0,7.0,48.9313,-9.1461,9,13.3097053,2.42998271,ZP,-9999,-9999,350.8539,15.0,POINT (-9.1461 48.9313)
1,50.0,48.9313,-9.1461,9,13.2519768,0.827763861,ZP,-9999,-9999,350.8539,65.0,POINT (-9.1461 48.9313)
2,7.0,47.9217,-14.8529,9,23.81146246,1.039786453,ZP,-9999,-9999,345.1471,15.0,POINT (-14.8529 47.9217)
3,40.0,47.9217,-14.8529,9,25.54243973,2.13307617,ZP,-9999,-9999,345.1471,45.0,POINT (-14.8529 47.9217)
4,7.0,47.0132,-19.9849,9,5.367414416,0.622061899,ZP,-9999,-9999,340.0151,15.0,POINT (-19.9849 47.0132)
5,50.0,47.0132,-19.9849,9,3.463084648,0.714554195,ZP,-9999,-9999,340.0151,65.0,POINT (-19.9849 47.0132)
6,7.0,42.2547,-20.0313,9,9.00463938,0.684279554,ZP,-9999,-9999,339.9687,15.0,POINT (-20.0313 42.2547)
7,60.0,42.2547,-20.0313,9,7.360799513,0.577356525,ZP,-9999,-9999,339.9687,65.0,POINT (-20.0313 42.2547)
8,7.0,37.9107,-19.9905,9,3.435165301,0.656953314,ZP,-9999,-9999,340.0095,15.0,POINT (-19.9905 37.9107)
9,90.0,37.9107,-19.9905,9,3.693561439,0.644307479,ZP,-9999,-9999,340.0095,117.5,POINT (-19.9905 37.9107)
10,7.0,33.5972,-20.8778,9,4.350492609,0.315645986,ZP,-9999,-9999,339.1222,15.0,POINT (-20.8778 33.5972)
11,110.0,33.5972,-20.8778,9,3.972692421,0.356176724,ZP,-9999,-9999,339.1222,117.5,POINT (-20.8778 33.5972)
12,7.0,27.3734,-21.8312,10,4.1083861,0.564043665,ZP,-9999,-9999,338.1688,15.0,POINT (-21.8312 27.3734)
13,80.0,27.3734,-21.8312,10,3.583342625,0.64448236,ZP,-9999,-9999,338.1688,87.5,POINT (-21.8312 27.3734)
14,7.0,23.2831,-21.1634,10,3.330360261,0.460476684,ZP,-9999,-9999,338.8366,15.0,POINT (-21.1634 23.2831)
15,80.0,23.2831,-21.1634,10,3.046858633,0.393039948,ZP,-9999,-9999,338.8366,87.5,POINT (-21.1634 23.2831)
16,7.0,19.4997,-20.3942,10,160.1606663,4.344394079,ZP,-9999,-9999,339.6058,15.0,POINT (-20.3942 19.4997)
17,30.0,19.4997,-20.3942,10,164.004089,1.13403576,ZP,-9999,-9999,339.6058,45.0,POINT (-20.3942 19.4997)
18,7.0,13.0422,-20.4362,10,6.369288507,0.27737078,ZP,-9999,-9999,339.5638,15.0,POINT (-20.4362 13.0422)
19,70.0,13.0422,-20.4362,10,3.459820212,0.474991339,ZP,-9999,-9999,339.5638,87.5,POINT (-20.4362 13.0422)
20,7.0,9.2381,-22.2151,10,6.928518045,0.969685746,ZP,-9999,-9999,337.7849,15.0,POINT (-22.2151 9.2381)
21,60.0,9.2381,-22.2151,10,7.479968299,0.623275163,ZP,-9999,-9999,337.7849,65.0,POINT (-22.2151 9.2381)
22,7.0,5.3564,-23.9664,10,4.707521601,0.551559687,ZP,-9999,-9999,336.0336,15.0,POINT (-23.9664 5.3564)
23,80.0,5.3564,-23.9664,10,6.9242212,0.459743009,ZP,-9999,-9999,336.0336,87.5,POINT (-23.9664 5.3564)
24,7.0,1.3923,-25.7013,10,3.802575934,0.251148249,ZP,-9999,-9999,334.2987,15.0,POINT (-25.7013 1.3923)
25,80.0,1.3923,-25.7013,10,7.908113688,0.623427659,ZP,-9999,-9999,334.2987,87.5,POINT (-25.7013 1.3923)
26,7.0,-2.79,-27.5272,10,4.713710503,0.428139872,ZP,-9999,-9999,332.4728,15.0,POINT (-27.5272 -2.79)
27,90.0,-2.79,-27.5272,10,4.962142311,0.803354374,ZP,-9999,-9999,332.4728,117.5,POINT (-27.5272 -2.79)
30,7.0,-11.4695,-31.5546,10,4.023863522,1.054943495,ZP,-9999,-9999,328.4454,15.0,POINT (-31.5546 -11.4695)
31,140.0,-11.4695,-31.5546,10,5.644468208,0.5410724,ZP,-9999,-9999,328.4454,160.0,POINT (-31.5546 -11.4695)
32,7.0,-15.5804,-33.4497,10,3.81190061,0.478106312,ZP,-9999,-9999,326.5503,15.0,POINT (-33.4497 -15.5804)
33,150.0,-15.5804,-33.4497,10,3.658875021,0.043635936,ZP,-9999,-9999,326.5503,160.0,POINT (-33.4497 -15.5804)
34,7.0,-19.6447,-35.3618,10,4.916134325,0.480520914,ZP,-9999,-9999,324.6382,15.0,POINT (-35.3618 -19.6447)
35,160.0,-19.6447,-35.3618,10,1.801403114,0.143251961,ZP,-9999,-9999,324.6382,160.0,POINT (-35.3618 -19.6447)
36,7.0,-23.7904,-37.3878,10,7.145651188,0.423717198,ZP,-9999,-9999,322.61220000000003,15.0,POINT (-37.3878 -23.7904)
37,120.0,-23.7904,-37.3878,10,3.975096584,0.333703639,ZP,-9999,-9999,322.61220000000003,160.0,POINT (-37.3878 -23.7904)
38,7.0,-27.1173,-40.138,10,5.391306019,0.257531194,ZP,-9999,-9999,319.862,15.0,POINT (-40.138 -27.1173)
39,80.0,-27.1173,-40.138,10,5.519234186,0.384256703,ZP,-9999,-9999,319.862,87.5,POINT (-40.138 -27.1173)
40,7.0,-30.2901,-43.3896,10,9.1481016,0.817750327,ZP,-9999,-9999,316.6104,15.0,POINT (-43.3896 -30.2901)
41,100.0,-30.2901,-43.3896,10,8.459545762,0.531359732,ZP,-9999,-9999,316.6104,117.5,POINT (-43.3896 -30.2901)
42,7.0,-33.1801,-46.4154,10,15.05628523,0.874458725,ZP,-9999,-9999,313.5846,15.0,POINT (-46.4154 -33.1801)
43,40.0,-33.1801,-46.4154,10,17.66159907,0.931025732,ZP,-9999,-9999,313.5846,45.0,POINT (-46.4154 -33.1801)
44,7.0,-40.9514,-55.2599,10,27.71593002,1.764582926,ZP,-9999,-9999,304.7401,15.0,POINT (-55.2599 -40.9514)
45,40.0,-40.9514,-55.2599,10,52.14527705,0.452518429,ZP,-9999,-9999,304.7401,45.0,POINT (-55.2599 -40.9514)
46,7.0,-46.008,-56.2836,10,52.11031208,0.942202847,ZP,-9999,-9999,303.7164,15.0,POINT (-56.2836 -46.008)
47,40.0,-46.008,-56.2836,10,8.850144249,0.771418094,ZP,-9999,-9999,303.7164,45.0,POINT (-56.2836 -46.008)
48,7.0,-50.8081,-57.4196,10,826.1811369,9.833274067,ZP,-9999,-9999,302.5804,15.0,POINT (-57.4196 -50.8081)
49,30.0,-50.8081,-57.4196,10,704.0991419,5.686125401,ZP,-9999,-9999,302.5804,45.0,POINT (-57.4196 -50.8081)
50,7.0,-47.5886,-55.597,4,21.97772217,2.33725489,ZP,-9999,-9999,304.403,15.0,POINT (-55.597 -47.5886)
51,60.0,-47.5886,-55.597,4,19.52234282,1.985755042,ZP,-9999,-9999,304.403,65.0,POINT (-55.597 -47.5886)
52,7.0,-43.4254,-54.7414,4,24.55032423,1.716975035,ZP,-9999,-9999,305.2586,15.0,POINT (-54.7414 -43.4254)
53,30.0,-43.4254,-54.7414,4,14.03842836,0.311541575,ZP,-9999,-9999,305.2586,45.0,POINT (-54.7414 -43.4254)
54,7.0,-39.4045,-53.3096,4,19.10432952,0.35930279,ZP,-9999,-9999,306.6904,15.0,POINT (-53.3096 -39.4045)
55,50.0,-39.4045,-53.3096,4,13.68298757,0.413660679,ZP,-9999,-9999,306.6904,65.0,POINT (-53.3096 -39.4045)
